correto,observacao,estrato_auditoria,peso_no_universo,github_repo,production_path,test_path,metodo,evidencia,ambiguo,n_testes_da_producao,url_producao,url_teste
,,referencia_estatica/mesmo_pacote,0.111151,test-smells-geode,/geode-core/src/main/java/org/apache/geode/internal/cache/DistributedRegion.java,/geode-core/src/test/java/org/apache/geode/internal/cache/SearchLoadAndWriteProcessorTest.java,referencia_estatica,mesmo_pacote,1,56,https://github.com/cristianritter/test-smells-geode/blob/8fd839e8b73e40bd2dfd14f331b587431bd35a66/geode-core/src/main/java/org/apache/geode/internal/cache/DistributedRegion.java,https://github.com/cristianritter/test-smells-geode/blob/8fd839e8b73e40bd2dfd14f331b587431bd35a66/geode-core/src/test/java/org/apache/geode/internal/cache/SearchLoadAndWriteProcessorTest.java
,,referencia_estatica/wildcard,0.007944,test-smells-jena,/jena-core/src/main/java/org/apache/jena/graph/Graph.java,/jena-core/src/test/java/org/apache/jena/graph/compose/test/TestDyadic.java,referencia_estatica,wildcard,1,127,https://github.com/cristianritter/test-smells-jena/blob/1cca775bbf0bb0fd3ee8ac55e31f0f30cdde3b77/jena-core/src/main/java/org/apache/jena/graph/Graph.java,https://github.com/cristianritter/test-smells-jena/blob/1cca775bbf0bb0fd3ee8ac55e31f0f30cdde3b77/jena-core/src/test/java/org/apache/jena/graph/compose/test/TestDyadic.java
,,caminho_exato,0.040014,test-smells-birt,/data/org.eclipse.birt.data/src/org/eclipse/birt/data/engine/odaconsumer/PreparedStatement.java,/data/org.eclipse.birt.data.tests/test/org/eclipse/birt/data/engine/odaconsumer/PreparedStatementTest.java,caminho_exato,,0,11,https://github.com/cristianritter/test-smells-birt/blob/f89264810347de98702db45386a822aabc0fadbf/data/org.eclipse.birt.data/src/org/eclipse/birt/data/engine/odaconsumer/PreparedStatement.java,https://github.com/cristianritter/test-smells-birt/blob/f89264810347de98702db45386a822aabc0fadbf/data/org.eclipse.birt.data.tests/test/org/eclipse/birt/data/engine/odaconsumer/PreparedStatementTest.java
,,referencia_estatica/wildcard,0.007944,test-smells-SapMachine,/src/java.base/share/classes/java/util/LinkedList.java,/test/jdk/java/util/stream/test/org/openjdk/tests/java/util/stream/CollectionAndMapModifyStreamTest.java,referencia_estatica,wildcard,1,12,https://github.com/cristianritter/test-smells-SapMachine/blob/6e62561730c46dc5000c39665c43951832192ceb/src/java.base/share/classes/java/util/LinkedList.java,https://github.com/cristianritter/test-smells-SapMachine/blob/6e62561730c46dc5000c39665c43951832192ceb/test/jdk/java/util/stream/test/org/openjdk/tests/java/util/stream/CollectionAndMapModifyStreamTest.java
,,caminho_exato,0.040014,test-smells-cxf,/rt/bindings/soap/src/main/java/org/apache/cxf/binding/soap/SoapBindingFactory.java,/rt/bindings/soap/src/test/java/org/apache/cxf/binding/soap/SoapBindingFactoryTest.java,caminho_exato,,0,6,https://github.com/cristianritter/test-smells-cxf/blob/6bf89e9c8804c8845ec4d38583dd33eea8256439/rt/bindings/soap/src/main/java/org/apache/cxf/binding/soap/SoapBindingFactory.java,https://github.com/cristianritter/test-smells-cxf/blob/6bf89e9c8804c8845ec4d38583dd33eea8256439/rt/bindings/soap/src/test/java/org/apache/cxf/binding/soap/SoapBindingFactoryTest.java
,,convencao,0.005513,test-smells-physical-web,/android/PhysicalWeb/app/src/main/java/org/physical_web/physicalweb/Utils.java,/android/PhysicalWeb/app/src/test/java/org/physical_web/physicalweb/UtilsTest.java,convencao,,0,1,https://github.com/cristianritter/test-smells-physical-web/blob/12604319e99b6d6dff451fc5a58a13a271f1dc7a/android/PhysicalWeb/app/src/main/java/org/physical_web/physicalweb/Utils.java,https://github.com/cristianritter/test-smells-physical-web/blob/12604319e99b6d6dff451fc5a58a13a271f1dc7a/android/PhysicalWeb/app/src/test/java/org/physical_web/physicalweb/UtilsTest.java
,,convencao,0.005513,test-smells-openejb,/openejb/server/openejb-client/src/main/java/org/apache/openejb/client/Options.java,/openejb/container/openejb-core/src/test/java/org/apache/openejb/util/OptionsTest.java,convencao,,0,1,https://github.com/cristianritter/test-smells-openejb/blob/f10c077ade927d73bdbd9ed4cc28b79f58a1cd66/openejb/server/openejb-client/src/main/java/org/apache/openejb/client/Options.java,https://github.com/cristianritter/test-smells-openejb/blob/f10c077ade927d73bdbd9ed4cc28b79f58a1cd66/openejb/container/openejb-core/src/test/java/org/apache/openejb/util/OptionsTest.java
,,referencia_estatica/mesmo_pacote,0.111151,test-smells-tinkerpop,/gremlin-core/src/main/java/org/apache/tinkerpop/gremlin/structure/Property.java,/gremlin-test/src/main/java/org/apache/tinkerpop/gremlin/structure/VertexTest.java,referencia_estatica,mesmo_pacote,1,29,https://github.com/cristianritter/test-smells-tinkerpop/blob/7d9df0f0acf08f9e675ca7b337fc5e0243c09b53/gremlin-core/src/main/java/org/apache/tinkerpop/gremlin/structure/Property.java,https://github.com/cristianritter/test-smells-tinkerpop/blob/7d9df0f0acf08f9e675ca7b337fc5e0243c09b53/gremlin-test/src/main/java/org/apache/tinkerpop/gremlin/structure/VertexTest.java
,,referencia_estatica/wildcard,0.007944,test-smells-hive,/standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/GetValidWriteIdsResponse.java,/itests/hive-unit/src/test/java/org/apache/hadoop/hive/metastore/cache/TestCachedStoreUpdateUsingEvents.java,referencia_estatica,wildcard,0,1,https://github.com/cristianritter/test-smells-hive/blob/2fa22bf360898dc8fd1408bfcc96e1c6aeaf9a53/standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/GetValidWriteIdsResponse.java,https://github.com/cristianritter/test-smells-hive/blob/2fa22bf360898dc8fd1408bfcc96e1c6aeaf9a53/itests/hive-unit/src/test/java/org/apache/hadoop/hive/metastore/cache/TestCachedStoreUpdateUsingEvents.java
,,caminho_exato,0.040014,test-smells-che,/ide/commons-gwt/src/main/java/org/eclipse/che/ide/resource/Path.java,/ide/commons-gwt/src/test/java/org/eclipse/che/ide/resource/PathTest.java,caminho_exato,,0,35,https://github.com/cristianritter/test-smells-che/blob/c5498c2ac562cd8a2fc79a6bb0446d291f05a201/ide/commons-gwt/src/main/java/org/eclipse/che/ide/resource/Path.java,https://github.com/cristianritter/test-smells-che/blob/c5498c2ac562cd8a2fc79a6bb0446d291f05a201/ide/commons-gwt/src/test/java/org/eclipse/che/ide/resource/PathTest.java
